NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,374.54601872602876
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,484.75725873325337
b38a03232f43b11c9d0788abaf060f7366053b6d,556.773730745062
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-0.028222942120837178
715494628a50142ce8cb17191cfe6d0f3cae0934,599.8769161240643
e656d6bad65c93fb2880f1eba5037008c8e75774,488.12238275648355
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,546.8750682100193
11539e86171bf07d3a36f09377d7f54ebcc8406a,355.2656801721314
043c544a2104aa8a9849f1a703a08d37a2f16839,466.80692874824666
76ba050e64ad100b856f0eaabd8f539d5c7dd185,440.7003257568627
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-0.015748949050575885
db4da599aab5bb08dce27094a35fd3e36cd0abce,-0.020551599107904887
940aede382ccb332fab15d413217695ec44ca765,524.1933304114124
9ad714b116da76d878dd399d187fccc2dd13dd63,475.51204512773194
dd34464a4d780b12a089347ad580418ac57a3055,479.5567241858116
f837a4cb05a5fd59d20138182f5e8c721eadd584,587.0455795423782
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-0.03293227011600778
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-0.020710182966671046
8b0c675d7fde14953668269d378c588f0df0498b,-0.006433234219840692
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,341.93963207218087
3d203727f27abd83b71732d88d8cb1cc099f363b,401.4625131652654
d30d31c8ff45094e9a992c63d4a6f68b245a341a,0.13773005430711685
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-0.018662366701640357
cbc301183dec912f3513ca766bf03dd565f3a38f,517.9971164250849
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,601.7577852457488
11282da1ee78c8db45a041db4c744e33df489df0,462.90979978114814
03c67f683a415c2ea09b582248bd4cb08528c19d,551.628949002575
046e844fb06a07ba30b41521f0065a8d9c6e5024,355.67417041165083
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,411.5351714681571
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,0.025529219277749843
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-0.01402104574040215
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,368.22095511438226
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,541.6184077582586
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,487.82679677939734
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,498.94700066374736
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,447.5448532816402
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,447.6929669016833
